data,IBCR_NE_ajuste_sazonal,credito_PF_brasil,credito_PF_nordeste,credito_PJ_brasil,credito_PJ_nordeste,credito_total_nordeste,ibc_br,inadimplencia_PF,inadimplencia_PJ,ipca_mensal,pib_trimestral_indice,selic_mensal,credito_PF_brasil_real,credito_PF_nordeste_real,credito_PJ_brasil_real,credito_PJ_nordeste_real,credito_total_nordeste_real
2022-12-01,97.98,5358049.0,507073.0,3187782.0,216702.0,286855.0,100.23388,3.88,4.18,0.62,,13.65,6127071.66787569,579851.4742669822,3645313.578797824,247804.50581396284,328026.3288537453
2023-01-01,100.28,5365320.0,512855.0,3221624.0,215043.0,286813.0,100.28521,4.04,4.39,0.53,182.79,13.65,6103040.137209438,583371.4763646057,3664590.4771751203,244610.95707729066,326249.1800812347
2023-02-01,103.24,5364476.0,514290.0,3235889.0,214404.0,287182.0,103.29712,4.08,4.45,0.84,,13.65,6051249.592420545,580130.6880459457,3650155.5776124503,241852.53463960593,323947.7556522794
2023-03-01,107.04,5417326.0,519505.0,3270928.0,214905.0,291114.0,102.96001,4.03,4.44,0.71,,13.65,6067784.312568788,581881.9634079707,3663668.3127325177,240708.64254663562,326068.05689174886
2023-04-01,105.8,5419040.0,521402.0,3282388.0,214683.0,291867.0,104.36716,4.18,4.69,0.61,184.25,13.65,6032903.401791453,580465.8942360395,3654213.611857348,239002.0743539067,324929.40025736403
2023-05-01,102.43,5446513.0,526211.0,3308931.0,216119.0,291897.0,102.52956,4.25,4.85,0.23,,13.65,6049574.494267678,584475.3595930256,3675310.1628310885,240048.63113824133,324217.09929880867
2023-06-01,102.19,5472241.0,524751.0,3310857.0,219598.0,292330.0,102.39167,4.18,4.85,-0.08,,13.65,6083017.623888908,583320.3583601906,3680393.7328739646,244108.12757894918,324958.00934049586
2023-07-01,102.03,5477495.0,528604.0,3332138.0,220822.0,292790.0,102.85707,4.14,4.87,0.12,184.44,13.65,6081560.169641329,586899.1266834721,3699610.4497673335,245174.5332091654,325079.2564975933
2023-08-01,101.02,5551565.0,534406.0,3387211.0,223986.0,296897.0,102.45143,4.04,4.89,0.23,,13.19,6149654.498836772,591979.4260006617,3752127.078519192,248116.79455729207,328882.7513937315
2023-09-01,100.57,5616177.0,538028.0,3411538.0,229194.0,300804.0,102.47551,3.92,4.81,0.26,,12.97,6205094.130660482,594446.0769186936,3769274.796774603,253227.47915220592,332346.5650885283
2023-10-01,101.59,5644764.0,543032.0,3449675.0,229156.0,304011.0,102.78063,3.89,4.87,0.24,185.03,12.65,6221746.596135464,598538.308703895,3802285.390323423,252579.3041097942,335085.64829951053
2023-11-01,101.14,5702348.0,551129.0,3490967.0,231188.0,307207.0,103.51678,3.79,4.82,0.28,,12.17,6267667.107845022,605766.8008826398,3837054.3222673214,254107.50507132764,337662.8731181867
2023-12-01,102.41,5794196.0,552993.0,3522206.0,236198.0,311667.0,104.50538,3.66,4.52,0.56,,11.87,6333155.062201124,604430.7816497381,3849831.2378482143,258168.44293527195,340657.34724386915
2024-01-01,104.68,5784313.0,558941.0,3560807.0,234050.0,312672.0,104.47437,3.67,4.61,0.42,186.47,11.65,6295909.9528205125,608376.8642774777,3875744.661703637,254750.6894003905,340326.4582619051
2024-02-01,105.25,5802794.0,561040.0,3580901.0,234489.0,314425.0,104.87054,3.67,4.58,0.83,,11.15,6264034.033219429,605634.7431939559,3865531.971941359,253127.558278924,339417.3394566512
2024-03-01,107.67,5899857.0,566914.0,3614106.0,239217.0,317875.0,104.47111,3.62,4.47,0.16,,11.0,6358638.347252805,610998.0462228961,3895144.069192939,257818.8572222639,342593.416185
2024-04-01,105.88,5915624.0,572878.0,3646778.0,239629.0,320086.0,105.27083,3.66,4.55,0.38,189.63,10.65,6351495.728033628,615088.4792009176,3915477.874876263,257285.21113122982,343670.3992010601
2024-05-01,106.49,5951817.0,578144.0,3674815.0,243463.0,322017.0,105.66216,3.69,4.53,0.46,,10.46,6361094.4461425105,617900.1450264038,3927514.1166304657,260204.76387986963,344160.5395904264
2024-06-01,106.01,6040221.0,583624.0,3704064.0,247652.0,326180.0,106.53112,3.62,4.44,0.21,,10.4,6442049.254909202,622449.8332672146,3950478.4231133265,264127.15396949445,347879.262359156
2024-07-01,106.04,6065265.0,590416.0,3744082.0,248922.0,329075.0,106.90838,3.7,4.43,0.38,191.19,10.4,6444271.087461632,627309.8963317756,3978042.0775820217,264476.6300620211,349638.2281905962
2024-08-01,106.43,6134688.0,600831.0,3790764.0,251120.0,334582.0,107.075,3.74,4.44,-0.02,,10.4,6519336.056901,638503.4092041657,4028446.830287419,266865.3516868306,355560.4615247019
2024-09-01,106.49,6216178.0,605801.0,3831806.0,255420.0,339203.0,107.96529,3.75,4.44,0.44,,10.5,6576996.735699095,640964.7856742917,4054223.6007128824,270245.881992482,358892.0754423924
2024-10-01,106.56,6274641.0,612725.0,3877157.0,259653.0,343579.0,108.15165,3.7,4.36,0.56,191.19,10.65,6601882.683934143,644680.4793315742,4079362.574080979,273194.696641856,361497.6937586403
