ano,mes,indice,indice_dessaz,fbcf_r$_2010_milhoes
2020,3,142.410272308405,140.907203889271,55200.236192456534
2020,4,100.553306270153,106.127015202784,38975.88401505552
2020,5,150.049274039446,149.599540841444,58161.221330627355
2020,6,133.113678790398,136.743057155773,51596.74502808384
2020,7,146.238464981467,142.60818220779,56684.097829106046
2020,8,146.580217639384,141.808072199313,56816.56599401177
2020,9,152.457770279148,146.141132292898,59094.78854558413
2020,10,157.568424042032,147.642598506944,61075.750243333896
2020,11,155.793188649872,151.665234209955,60387.643891481515
2020,12,183.18491250809,190.743471083099,71005.0635634116
2021,1,158.022252121998,167.983433513837,61251.660440589716
2021,2,148.450798468127,158.838258949189,57541.62959836926
2021,3,201.450914909885,194.158171636974,78085.22451622931
2021,4,149.178779096459,156.808793601978,57823.80518854813
2021,5,160.695163009036,159.168892743079,62287.71851369204
2021,6,176.108622194514,180.430299454946,68262.1933459765
2021,7,165.717593364335,163.77789336836,64234.483571006764
2021,8,172.347546648103,165.380418532749,66804.34725679205
2021,9,173.095316387558,166.23147389889,67094.19338639591
2021,10,171.87916938843,163.977650046479,66622.79760487699
2021,11,172.196605224433,165.963595578642,66745.84022563093
2021,12,160.976138787133,168.308275774878,62396.62870020641
2022,1,154.059384602649,163.733664549057,59715.59692696692
2022,2,154.863544726938,163.282666851921,60027.300767473855
2022,3,168.983882770412,162.926794499023,65500.54355142636
2022,4,157.826933492973,168.226415590808,61175.952175804916
2022,5,172.067321451008,168.428739999346,66695.72800496937
2022,6,165.781917456012,169.200009009845,64259.41649784242
2022,7,172.816063481345,173.602397938649,66985.95100826905
2022,8,182.552965541982,173.302495392135,70760.11199346329
2022,9,181.721110476673,173.747368969216,70437.67320202083
2022,10,185.508142268063,176.133314518426,71905.5802989337
2022,11,177.87355679002,170.887699721562,68946.30696230987
2022,12,157.963823941912,167.766654260013,61229.0128503823
2023,1,156.462036549685,165.17869799132,60630.708176297565
2023,2,150.767684983362,162.815979168025,58424.0862015073
2023,3,177.608507766955,169.440971540655,68825.19134682456
2023,4,151.702657591845,164.566260503833,58786.398060842985
2023,5,173.132633975184,167.950462473444,67090.74250743068
2023,6,163.171115632971,164.989177322723,63230.54788822183
2023,7,163.152991322067,162.691227794331,63223.524524410714
2023,8,171.561316699337,161.838319892408,66481.84030146967
2023,9,165.625188578594,159.462899113262,64181.52733276053
2023,10,172.612888739505,161.098886932448,66889.33568437383
2023,11,170.950613467639,164.342321499588,66245.18628468749
2023,12,154.74010529285,167.759487867964,59963.44144607285
2024,1,163.152395892089,169.327304813611,61024.04964929892
2024,2,161.959356820171,167.750008802489,60577.81608245365
2024,3,172.173489787733,173.892286983901,64398.218191346416
2024,4,170.6307,174.3207,63821.16702338612
2024,5,169.3766,166.5528,63352.09477809833
2024,6,173.5267,181.856,64904.36072592458
2024,7,181.6421,176.2067,67939.77169746479
2024,8,184.3644,177.1883,68957.9962197094
2024,9,185.7255,178.7772,69467.08977928298
2024,10,195.157,180.0668,72994.76291653828
2024,11,182.9661,180.9867,68434.98870787947
2024,12,166.0723,179.4475,62116.18422861706
2025,1,171.1525,177.3589,64016.33638594986
2025,2,194.4903,199.3301,72745.39646575015
2025,3,176.425,180.6965,65988.41469970468
2025,4,176.1194,183.4234,65874.1108338567
2025,5,181.5103,179.4509,67890.47441500811
2025,6,177.0011,180.3737,66203.893944191
2025,7,184.807,178.7312,69123.54232908216
2025,8,178.5677,174.498,66789.85086905175
2025,9,201.1652,190.5871,75242.01581833091
2025,10,192.163,177.4754,71874.91417848575
2025,11,177.3654,178.2488,66340.15342824996
2025,12,157.6826,169.2476,58978.176560734886
2026,1,164.5679,174.7146,61553.49203037851
