ano,sigla_uf,divisao_cnae,saldo,salario_medio,total_movimentacoes,uf_nome
2021,PB,Q,1205,1319.093652313248,10467,Paraíba
2021,PB,R,214,1004.3471880317652,1826,Paraíba
2021,PB,S,697,1271.1406236166886,4595,Paraíba
2021,PB,T,9,1102.85,17,Paraíba
2021,PE,A,7795,1066.1183079338691,70167,Pernambuco
2021,PE,B,175,1794.3242816020822,755,Pernambuco
2021,PE,C,12664,1190.4193373458663,135304,Pernambuco
2021,PE,D,1036,1889.6082351965877,2206,Pernambuco
2021,PE,E,1110,1434.9800499692155,7754,Pernambuco
2021,PE,F,4298,20239.683902273,90118,Pernambuco
2021,PE,G,21942,1269.1637943014691,204868,Pernambuco
2021,PE,H,1637,1742.3503218677008,40663,Pernambuco
2021,PE,I,6221,1233.094373137518,48007,Pernambuco
2021,PE,J,2543,2778.2619396109185,16643,Pernambuco
2021,PE,K,706,2921.942387555216,5408,Pernambuco
2021,PE,L,651,1585.182966494304,3441,Pernambuco
2021,PE,M,3722,1835.0956331225311,32856,Pernambuco
2021,PE,N,14452,1286.6532955431378,132622,Pernambuco
2021,PE,O,12,1831.443253949686,1382,Pernambuco
2021,PE,P,1731,1230.5027820717753,26761,Pernambuco
2021,PE,Q,6742,1595.9898673673936,49170,Pernambuco
2021,PE,R,636,2662.1851753625856,4848,Pernambuco
2021,PE,S,2976,1576.5402590711246,19152,Pernambuco
2021,PE,T,1,1551.0170833333334,15,Pernambuco
2021,PE,U,0,,6,Pernambuco
2021,PI,A,1519,1382.3399538806518,13231,Piauí
2021,PI,B,188,1624.5378329004216,680,Piauí
2021,PI,C,1886,1126.8093216748575,17986,Piauí
2021,PI,D,108,3657.6104726985545,366,Piauí
2021,PI,E,731,1411.759616702052,2001,Piauí
2021,PI,F,4055,1511.9084960611,35305,Piauí
2021,PI,G,9612,1183.8153811611903,56650,Piauí
2021,PI,H,119,1659.8313226509642,5693,Piauí
2021,PI,I,1569,1134.4769518803737,10183,Piauí
2021,PI,J,916,1337.0340463615648,3952,Piauí
2021,PI,K,136,2349.560746205281,1260,Piauí
2021,PI,L,83,1404.0765005701348,671,Piauí
2021,PI,M,-42,1546.2882150113062,7952,Piauí
2021,PI,N,3800,1266.4501677013434,29198,Piauí
2021,PI,O,20,1302048251.519762,88,Piauí
2021,PI,P,496,1446.8458148520328,6370,Piauí
2021,PI,Q,1142,1755.6862656784494,7802,Piauí
2021,PI,R,216,1067.0097127303743,1132,Piauí
2021,PI,S,297,1243.6237337077011,3293,Piauí
2021,RN,A,944,1125.0559833010936,24314,Rio Grande do Norte
2021,RN,B,1038,1821.8937330264723,4542,Rio Grande do Norte
2021,RN,C,5023,1167.6669706300256,38451,Rio Grande do Norte
2021,RN,D,14,3624.981393752835,272,Rio Grande do Norte
2021,RN,E,150,1283.786692346556,3416,Rio Grande do Norte
2021,RN,F,4086,1502.1608146805318,47004,Rio Grande do Norte
2021,RN,G,9055,1144.517024706338,78735,Rio Grande do Norte
2021,RN,H,428,1467.9653237728369,7180,Rio Grande do Norte
2021,RN,I,3877,1117.0911183890669,22129,Rio Grande do Norte
2021,RN,J,695,1604.0391931757376,4615,Rio Grande do Norte
2021,RN,K,327,2214.4808340716186,2095,Rio Grande do Norte
2021,RN,L,468,1394.6589737020602,2124,Rio Grande do Norte
2021,RN,M,1219,1656.4240634571613,9427,Rio Grande do Norte
2021,RN,N,5616,1213.3685116221873,50076,Rio Grande do Norte
2021,RN,O,-1,2722.274344155844,69,Rio Grande do Norte
2021,RN,P,1307,1035.4424726778404,10659,Rio Grande do Norte
2021,RN,Q,2459,1332.830579682076,13189,Rio Grande do Norte
2021,RN,R,247,1321.5231242564962,1951,Rio Grande do Norte
2021,RN,S,775,1255.4992073158198,5053,Rio Grande do Norte
2021,RN,T,-1,1160.4260678210678,61,Rio Grande do Norte
2021,SE,A,1735,1128.0088436309527,9969,Sergipe
2021,SE,B,169,2577.32989951269,1117,Sergipe
2021,SE,C,1144,1192.111287033298,28490,Sergipe
2021,SE,D,80,2276.2449280248534,446,Sergipe
2021,SE,E,28,1431.101405527652,850,Sergipe
2021,SE,F,2542,1407.1392684005452,23616,Sergipe
2021,SE,G,4801,1181.4232247883515,42721,Sergipe
2021,SE,H,-590,1597.0505034812247,6924,Sergipe
2021,SE,I,1013,1095.5239627103178,9247,Sergipe
2021,SE,J,703,1574.441701875784,3525,Sergipe
2021,SE,K,-134,2452.641251386559,1764,Sergipe
2021,SE,L,-186,1415.803842500531,1072,Sergipe
2021,SE,M,771,1570.6917421166106,5277,Sergipe
2021,SE,N,488,1179.3010948939896,24082,Sergipe
2021,SE,O,-2,10949.276666666668,568,Sergipe
2021,SE,P,-52,973.5062474264978,6752,Sergipe
2021,SE,Q,439,1344.524998238145,9625,Sergipe
2021,SE,R,307,3420.578656535983,1353,Sergipe
2021,SE,S,412,1339.836711172058,3262,Sergipe
2021,SE,T,0,762.5,6,Sergipe
2022,AL,A,-404,1133.0107845466766,14092,Alagoas
2022,AL,B,602,3461.512261829632,1102,Alagoas
2022,AL,C,5239,1191.7127189272949,65909,Alagoas
2022,AL,D,29,3703.050481903434,671,Alagoas
2022,AL,E,1125,1919.851067358398,3489,Alagoas
2022,AL,F,2442,1549.9486016680478,40626,Alagoas
2022,AL,G,4343,1299.2317941389438,77547,Alagoas
2022,AL,H,1468,1475.2764723249556,13276,Alagoas
2022,AL,I,2545,1369.30569796692,25129,Alagoas
2022,AL,J,174,1637.776568139131,3910,Alagoas
2022,AL,K,224,2517.3592765240805,1444,Alagoas
2022,AL,L,492,1375.9599500957684,2882,Alagoas
2022,AL,M,441,1692.158402266131,8119,Alagoas
2022,AL,N,2856,1273.855632725221,34596,Alagoas
2022,AL,O,-1328,3862.6750255880306,1678,Alagoas
2022,AL,P,602,1204.4167396372502,10096,Alagoas
2022,AL,Q,-324,1498.5031675575722,9502,Alagoas
2022,AL,R,152,2039.405422890717,1434,Alagoas
2022,AL,S,100,1388.425009901261,6300,Alagoas
2022,AL,T,1,1318.3333333333333,11,Alagoas
2022,BA,A,5343,1413.0218055842024,129307,Bahia
2022,BA,B,1557,2713.760365483836,8983,Bahia
2022,BA,C,16840,1436.012510640727,167908,Bahia
2022,BA,D,-89,3075.288001752302,1111,Bahia
2022,BA,E,1517,1672.3168073625532,12631,Bahia
2022,BA,F,19870,1781.5128157337676,243096,Bahia
2022,BA,G,17513,1406.2816049194614,367845,Bahia
2022,BA,H,6541,1757.663051714532,72189,Bahia
2022,BA,I,7168,1306.5627361628192,96204,Bahia
2022,BA,J,2903,2219.972855088588,25243,Bahia
2022,BA,K,180,2488.0498671235864,7838,Bahia
2022,BA,L,573,1591.593904883791,6177,Bahia
2022,BA,M,6573,1935.1569802411989,54509,Bahia
2022,BA,N,14021,1353.9579423378136,214677,Bahia
2022,BA,O,2364,1976.0080362532424,7126,Bahia
2022,BA,P,6881,1219.50825690814,52667,Bahia
2022,BA,Q,6933,1794.9492519095156,92201,Bahia
2022,BA,R,863,2306.5522944411905,7537,Bahia
2022,BA,S,748,1549.5847654609934,26562,Bahia
2022,BA,T,-6,1114.5380902777777,54,Bahia
2022,BA,U,1,3062.745,11,Bahia
2022,CE,A,58,1250.3161243838194,21336,Ceará
2022,CE,B,166,1703.792067705874,2366,Ceará
2022,CE,C,7300,1261.5472284088664,161516,Ceará
2022,CE,D,14,6122.126860588495,538,Ceará
2022,CE,E,275,1394.50724703508,6993,Ceará
2022,CE,F,8205,1642.962295973679,121309,Ceará
2022,CE,G,10443,1339.479401065091,222173,Ceará
2022,CE,H,1821,1562.2607759724372,37433,Ceará
2022,CE,I,5414,1264.774089264016,62828,Ceará
2022,CE,J,2880,2069.883216633252,33232,Ceará
2022,CE,K,351,2815.676684024475,10719,Ceará
2022,CE,L,371,1546.05332372393,4791,Ceará
2022,CE,M,5780,1792.3158200708017,32824,Ceará
2022,CE,N,19401,1527.1977639556378,160499,Ceará
2022,CE,O,1668,2010.0306750288755,2954,Ceará
2022,CE,P,1449,1343.5545730604483,36119,Ceará
