uf,uf_nome,ano_bim,bimestre,admissoes,desligamentos,saldo,total_movimentacoes,salario_medio,rais_vinculos_ativos,credito_PF_nordeste_real,credito_PJ_nordeste_real,credito_total_nordeste_real,IBCR_NE_ajuste_sazonal,ibc_br,selic_mensal,ipca_mensal,inadimplencia_PF,inadimplencia_PJ,resultado_primario_real,dcl_real,investimento_publico_real,transferencias_federais_real,rais_remuneracao_media_real,credito_PF_brasil,credito_PF_brasil_real,credito_PF_nordeste,credito_PJ_brasil,credito_PJ_brasil_real,credito_PJ_nordeste,credito_total_nordeste,pib_trimestral_indice,resultado_primario_nominal,dcl_nominal,ano,investimento_publico_nominal,transferencias_federais_nominal
CE,Ceará,2017,1,63613,70985,-7372,134598,1260.464482305341,2045503.0,374950.6855377529,236252.45663048985,223191.9684132602,96.58,95.10675,12.995,0.355,3.99,5.62,,10230994937.839745,3202453485.622351,13258603470.956823,,3083038.0,4745548.788717878,243594.0,1575512.0,2425097.927177829,153486.0,145001.0,164.35,,6646764700.04,2017.0,2126730371.76,8613709424.94
CE,Ceará,2017,2,30701,35376,-4675,66077,1256.4815291251116,2045503.0,374970.81849066325,231954.5276086021,224610.21574568911,97.23,94.9326,11.87,0.195,4.025,5.720000000000001,,10191213535.80274,3202453485.622351,10528479232.836063,,3082414.0,4726139.813488331,244558.0,1586373.0,2432321.094552167,151282.0,146492.0,165.73,,6646764700.04,2017.0,2126730371.76,6866731215.4800005
CE,Ceará,2017,3,29761,32701,-2940,62462,1226.4967340142807,2045503.0,380794.26888865547,229731.6122280672,224611.51934395035,95.87,95.24586,10.65,0.0399999999999999,3.975,5.734999999999999,,10582486022.294384,3202453485.622351,12212614847.9845,,3090213.0,4734343.983155378,248553.0,1604318.0,2457886.6474148775,149951.0,146609.0,,,6907427089.11,2017.0,2126730371.76,7971448906.439999
CE,Ceará,2017,4,67750,60904,6846,128654,1256.8561728294258,2045503.0,383976.55138256337,225253.61251961865,222370.4590284322,96.69,95.07244,9.58,0.215,3.94,5.605,,10537128321.208044,3202453485.622351,9755330292.23674,,3063766.0,4673707.745544063,251709.0,1620808.0,2472507.007271372,147661.0,145771.0,166.12,,6907427089.11,2017.0,2126730371.76,6394933293.940001
CE,Ceará,2017,5,62387,57308,5079,119695,1236.2826363140036,2045503.0,385205.65609676746,215977.00552203463,220956.2369171614,96.25,95.32205,8.18,0.29,3.87,5.395,,12354931271.205236,3202453485.622351,24913801983.91365,,3068523.0,4653940.316256024,253981.0,1636329.0,2481772.991031484,142402.0,145685.0,167.02,,8146084434.45,2017.0,2126730371.76,16426634036.98
CE,Ceará,2017,6,30435,27574,2861,58009,1251.3025392611491,2045503.0,388815.3973360677,218618.12412936104,221757.73957200735,97.45,96.86882,7.2,0.36,3.65,5.075,,12266461624.700178,3202453485.622351,18340607756.60923,,3105277.0,4675959.531364208,258210.0,1660162.0,2499889.809349912,145183.0,147268.0,,,8146084434.45,2017.0,2126730371.76,12179888865.72
CE,Ceará,2018,1,63472,62194,1278,125666,1242.166655981352,2030898.0,388787.74313355313,211745.4828060655,218401.16186597993,97.91,95.90327,6.8100000000000005,0.305,3.71,5.01,,13463229125.875065,3967230938.155568,4560133905.858249,,3074312.0,4601221.947839811,259769.0,1669009.0,2497951.0348794055,141478.0,145925.0,168.01,,8995472796.06,2018.0,2733293560.16,3046858975.1400003
CE,Ceará,2018,2,62404,59068,3336,121472,1249.570038811486,2030898.0,392761.34383379057,207658.9941881465,220190.62916052892,98.28,96.45372,6.49,0.155,3.63,4.705,,13421595604.741076,3967230938.155568,3843620247.800015,,3103899.0,4631138.142533976,263238.0,1688992.0,2520041.816320294,139178.0,147577.0,167.85,,8995472796.06,2018.0,2733293560.16,2576085764.74
CE,Ceará,2018,3,63309,60545,2764,123854,1264.3334898026983,2030898.0,392456.05605053494,205179.6710414269,222310.9980235777,98.24,96.16264,6.4,0.8300000000000001,3.53,4.495,,15098898139.641672,3967230938.155568,4398690872.479443,,3138842.0,4606573.172903985,267413.0,1706124.0,2503912.286138531,139806.0,151479.0,,,10288136941.62,2018.0,2733293560.16,2997194473.49
CE,Ceará,2018,4,65657,60202,5455,125859,1244.425488109022,2030898.0,398616.964995496,202289.3764187903,227462.99630012727,98.51,97.28302,6.4,0.12,3.495,4.25,,15062792174.914637,3967230938.155568,3530193263.2634153,,3166304.0,4635764.413444031,272262.0,1731984.0,2535786.1379875233,138167.0,155361.0,169.46,,10288136941.62,2018.0,2733293560.16,2411180563.4099994
