ano_bim,bimestre,uf,transferencias_federais_nominal,transferencias_federais_real
2023,2,SE,1960016139.6699998,2182044796.971658
2023,3,AL,2425870941.5000005,2696631177.3228703
2023,3,BA,6854257707.83,7619286218.462651
2023,3,CE,6199041386.97,6890938832.583443
2023,3,MA,3999117865.35,4445473884.453012
2023,3,PB,2737435192.43,3042970241.9548798
2023,3,PE,8068827560.059999,8969418607.836445
2023,3,PI,3055652063.2999997,3396704449.51646
2023,3,RN,2330063023.4500003,2590129790.7782617
2023,3,SE,2252740898.56,2504177463.674537
2023,4,AL,2178912041.589999,2413653850.604929
2023,4,BA,12165228307.88,13475830868.040035
2023,4,CE,3855280489.9600005,4270623330.42307
2023,4,MA,3991085097.6299996,4421058643.081856
2023,4,PB,2164295390.77,2397462496.910406
2023,4,PE,4250397137.7499995,4708307275.517303
2023,4,PI,2608272642.5400004,2889270969.6074867
2023,4,RN,2018862345.5499997,2236361441.47528
2023,4,SE,1952748778.7799997,2163125229.1061053
2023,5,AL,2076195433.4100003,2288414869.2010264
2023,5,BA,5452835014.710002,6010199486.118503
2023,5,CE,3711390650.5600004,4090752447.232633
2023,5,MA,3636732387.210001,4008462949.235685
2023,5,PB,2245557063.0300007,2475087889.118988
2023,5,PE,4116304504.330002,4537054788.9109745
2023,5,PI,2106736006.8699996,2322077163.8459
2023,5,RN,2040305588.47,2248856524.407289
2023,5,SE,1962397247.67,2162984740.541221
2023,6,AL,3171808102.069999,3466840358.516549
2023,6,BA,8733321493.919998,9545669361.038067
2023,6,CE,5864303296.880001,6409783533.542586
2023,6,MA,5155440177.44,5634984052.598357
2023,6,PB,3824962242.4200006,4180748975.0623536
2023,6,PE,5594243743.759998,6114603835.455445
2023,6,PI,3083307404.3499994,3370107586.3124766
2023,6,RN,3477660665.2699995,3801142427.1585608
2023,6,SE,2949713416.14,3224087078.4263444
2024,1,AL,3294000693.13,3555827149.3378377
2024,1,BA,8486522436.900001,9161080915.23185
2024,1,CE,5740775627.43,6197086077.378956
2024,1,MA,5680039725.7,6131522530.6676655
2024,1,PB,3406513193.61,3677282801.9371433
2024,1,PE,6244758946.41,6741128940.569619
2024,1,PI,3361913415.11,3629137971.9814277
2024,1,RN,3025983141.05,3266505993.403424
2024,1,SE,2977478931.46,3214146385.320461
