uf,ano,investimento_publico_nominal,investimento_publico_real,ano_bim,bimestre
PB,2022,1263637592.85,1445003226.6621435,2022,2
PE,2022,3043353412.04,3480155643.638775,2022,2
PI,2022,2297971211.29,2627791254.295909,2022,2
RN,2022,705803398.67,807104975.5389186,2022,2
SE,2022,988347713.73,1130201921.4092286,2022,2
AL,2022,2437313237.32,2787132570.4788723,2022,3
BA,2022,9514002468.97,10879515095.0888,2022,3
CE,2022,3525370735.49,4031355284.7648206,2022,3
MA,2022,2470319489.9,2824876098.9620323,2022,3
PB,2022,1263637592.85,1445003226.6621435,2022,3
PE,2022,3043353412.04,3480155643.638775,2022,3
PI,2022,2297971211.29,2627791254.295909,2022,3
RN,2022,705803398.67,807104975.5389186,2022,3
SE,2022,988347713.73,1130201921.4092286,2022,3
AL,2022,2437313237.32,2787132570.4788723,2022,4
BA,2022,9514002468.97,10879515095.0888,2022,4
CE,2022,3525370735.49,4031355284.7648206,2022,4
MA,2022,2470319489.9,2824876098.9620323,2022,4
PB,2022,1263637592.85,1445003226.6621435,2022,4
PE,2022,3043353412.04,3480155643.638775,2022,4
PI,2022,2297971211.29,2627791254.295909,2022,4
RN,2022,705803398.67,807104975.5389186,2022,4
SE,2022,988347713.73,1130201921.4092286,2022,4
AL,2022,2437313237.32,2787132570.4788723,2022,5
BA,2022,9514002468.97,10879515095.0888,2022,5
CE,2022,3525370735.49,4031355284.7648206,2022,5
MA,2022,2470319489.9,2824876098.9620323,2022,5
PB,2022,1263637592.85,1445003226.6621435,2022,5
PE,2022,3043353412.04,3480155643.638775,2022,5
PI,2022,2297971211.29,2627791254.295909,2022,5
RN,2022,705803398.67,807104975.5389186,2022,5
SE,2022,988347713.73,1130201921.4092286,2022,5
AL,2022,2437313237.32,2787132570.4788723,2022,6
BA,2022,9514002468.97,10879515095.0888,2022,6
CE,2022,3525370735.49,4031355284.7648206,2022,6
MA,2022,2470319489.9,2824876098.9620323,2022,6
PB,2022,1263637592.85,1445003226.6621435,2022,6
PE,2022,3043353412.04,3480155643.638775,2022,6
PI,2022,2297971211.29,2627791254.295909,2022,6
RN,2022,705803398.67,807104975.5389186,2022,6
SE,2022,988347713.73,1130201921.4092286,2022,6
AL,2023,1989365775.25,2174410725.8529396,2023,1
BA,2023,7924978490.57,8662136670.107193,2023,1
CE,2023,2409603164.84,2633737360.852532,2023,1
MA,2023,1692133081.26,1849530321.2904353,2023,1
PB,2023,1497813649.94,1637135868.2639408,2023,1
PE,2023,1443793992.59,1578091461.342856,2023,1
PI,2023,2018902122.99,2206694457.7474966,2023,1
RN,2023,351066280.69,383721433.089249,2023,1
SE,2023,778917897.51,851370548.3305212,2023,1
AL,2023,1989365775.25,2174410725.8529396,2023,2
BA,2023,7924978490.57,8662136670.107193,2023,2
CE,2023,2409603164.84,2633737360.852532,2023,2
MA,2023,1692133081.26,1849530321.2904353,2023,2
PB,2023,1497813649.94,1637135868.2639408,2023,2
PE,2023,1443793992.59,1578091461.342856,2023,2
PI,2023,2018902122.99,2206694457.7474966,2023,2
RN,2023,351066280.69,383721433.089249,2023,2
SE,2023,778917897.51,851370548.3305212,2023,2
AL,2023,1989365775.25,2174410725.8529396,2023,3
BA,2023,7924978490.57,8662136670.107193,2023,3
CE,2023,2409603164.84,2633737360.852532,2023,3
MA,2023,1692133081.26,1849530321.2904353,2023,3
PB,2023,1497813649.94,1637135868.2639408,2023,3
PE,2023,1443793992.59,1578091461.342856,2023,3
