ano_bim,bimestre,uf,dcl_nominal,dcl_real
2023,5,CE,9501906885.65,10473149421.763073
2023,5,MA,4433520205.58,4886694864.119238
2023,5,PB,-195385655.48,-215357105.61440414
2023,5,PE,12069013825.15,13302654581.367594
2023,5,PI,7236756157.34,7976465090.301827
2023,5,RN,4101520827.02,4520759990.052798
2023,5,SE,2884664295.48,3179521811.965247
2023,6,AL,10136310099.65,11079159838.507149
2023,6,BA,20841097280.44,22779674823.468975
2023,6,CE,9501906885.65,10385746304.304861
2023,6,MA,4433520205.58,4845913209.24248
2023,6,PB,-195385655.48,-213559854.2204383
2023,6,PE,12069013825.15,13191637977.473331
2023,6,PI,7236756157.34,7909897920.569649
2023,6,RN,4101520827.02,4483032225.414027
2023,6,SE,2884664295.48,3152987279.9729247
2024,1,AL,11165915982.02,12053448342.89172
2024,1,BA,16150280069.75,17433998863.81275
2024,1,CE,7206112242.94,7778896224.297356
2024,1,MA,-331728952.38,-358096711.25884306
2024,1,PB,-1533790452.02,-1655705095.042197
2024,1,PE,7346348534.17,7930279316.814028
2024,1,PI,6690323334.2,7222109393.969677
2024,1,RN,3403298378.88,3673812454.9147925
2024,1,SE,1975249404.12,2132253788.6928394
2024,2,AL,11165915982.02,11988636813.188677
2024,2,BA,16150280069.75,17340256052.373135
2024,2,CE,7206112242.94,7737069010.262355
2024,2,MA,-331728952.38,-356171221.14364284
2024,2,PB,-1533790452.02,-1646802349.795017
2024,2,PE,7346348534.17,7887638114.157841
2024,2,PI,6690323334.2,7183276029.09431
2024,2,RN,3403298378.88,3654058323.294397
2024,2,SE,1975249404.12,2120788635.6653414
2024,3,AL,11405379817.64,12164127530.463572
2024,3,BA,22346355037.73,23832955751.245697
2024,3,CE,8746744369.42,9328625235.385157
2024,3,MA,900421611.26,960322539.509999
2024,3,PB,-2124008580.19,-2265309148.69402
2024,3,PE,8892591782.12,9484175208.857067
2024,3,PI,8370143206.64,8926970521.081684
2024,3,RN,3514440351.57,3748239981.327563
2024,3,SE,2005967892.42,2139415754.2805212
2024,4,AL,11405379817.64,12120502931.492426
2024,4,BA,22346355037.73,23747482861.03295
2024,4,CE,8746744369.42,9295169688.834316
2024,4,MA,900421611.26,956878504.1228199
2024,4,PB,-2124008580.19,-2257184998.1612377
2024,4,PE,8892591782.12,9450161808.469551
2024,4,PI,8370143206.64,8894955441.65785
2024,4,RN,3514440351.57,3734797548.598744
2024,4,SE,2005967892.42,2131743099.2479835
2024,5,AL,12826319221.78,13495250926.528074
2024,5,BA,24083252428.23,25339267565.864967
2024,5,CE,12002714794.04,12628693013.508318
2024,5,MA,893355845.36,939947080.011993
2024,5,PB,-448693341.72,-472094069.3017837
2024,5,PE,13166810527.22,13853499893.029018
2024,5,PI,10752874948.48,11313670204.379717
2024,5,RN,6932442046.08,7293990062.760966
2024,5,SE,1764039149.17,1856039176.215395
