ano,sigla_uf,sexo,grau_instrucao,admissoes,desligamentos,saldo,salario_medio,total_movimentacoes
2016,PB,1,5.0,6788,7848,-1060,1078.5361020792247,14636
2016,PB,1,6.0,5227,5976,-749,1006.0652951129141,11203
2016,PB,1,7.0,35076,36079,-1003,1080.118022182486,71155
2016,PB,1,8.0,1705,1997,-292,1251.2382455855684,3702
2016,PB,1,9.0,2864,3011,-147,2357.1273304171814,5875
2016,PB,2,1.0,39,37,2,906.4116361416361,76
2016,PB,2,2.0,201,205,-4,914.7615157281334,406
2016,PB,2,3.0,334,400,-66,911.4747412103336,734
2016,PB,2,4.0,572,726,-154,920.0597399846478,1298
2016,PB,2,5.0,1017,1278,-261,928.3732559703496,2295
2016,PB,2,6.0,1631,1797,-166,859.3038514654247,3428
2016,PB,2,7.0,19380,20861,-1481,980.2294751269834,40241
2016,PB,2,8.0,1785,2046,-261,1110.1613178007176,3831
2016,PB,2,9.0,3994,3829,165,1662.5979352242896,7823
2016,PE,1,1.0,4805,6079,-1274,925.3951037914036,10884
2016,PE,1,2.0,20721,24934,-4213,1007.4832311258515,45655
2016,PE,1,3.0,9768,10834,-1066,1052.9753445109761,20602
2016,PE,1,4.0,17120,21014,-3894,1107.481489901878,38134
2016,PE,1,5.0,18114,22421,-4307,1163.873830214244,40535
2016,PE,1,6.0,15213,18713,-3500,1072.9803353265834,33926
2016,PE,1,7.0,113135,117594,-4459,1233.1097421112677,230729
2016,PE,1,8.0,4388,5124,-736,1779.7107513639662,9512
2016,PE,1,9.0,10368,11716,-1348,3303.5210683770993,22084
2016,PE,2,1.0,297,336,-39,908.2267118547285,633
2016,PE,2,2.0,2176,2541,-365,922.2203383830423,4717
2016,PE,2,3.0,1407,1749,-342,970.3907166488021,3156
2016,PE,2,4.0,3680,4350,-670,935.0248068202123,8030
2016,PE,2,5.0,4138,5343,-1205,965.5713053349416,9481
2016,PE,2,6.0,5192,6741,-1549,853.8269522696248,11933
2016,PE,2,7.0,66774,73752,-6978,1008.2614244948891,140526
2016,PE,2,8.0,4708,5673,-965,1265.464736767981,10381
2016,PE,2,9.0,13590,14803,-1213,2217.4875528293996,28393
2016,PI,1,1.0,683,848,-165,1014.7851111181329,1531
2016,PI,1,2.0,3710,5065,-1355,1095.7080226484206,8775
2016,PI,1,3.0,2635,4002,-1367,1127.1748567301481,6637
2016,PI,1,4.0,4842,7257,-2415,1127.415049735458,12099
2016,PI,1,5.0,7240,9280,-2040,1126.3409577748353,16520
2016,PI,1,6.0,4548,5631,-1083,1057.343865790057,10179
2016,PI,1,7.0,23491,24428,-937,1115.0483855350744,47919
2016,PI,1,8.0,1228,1318,-90,1339.9561129578638,2546
