ano,sigla_uf,sexo,grau_instrucao,admissoes,desligamentos,saldo,salario_medio,total_movimentacoes
2021,SE,1,6,4709,3822,887,1116.1707469382895,8531
2021,SE,1,7,34180,28758,5422,1326.1978898263014,62938
2021,SE,1,8,1443,1436,7,1435.7794635655134,2879
2021,SE,1,9,2666,2661,5,2521.8794531816825,5327
2021,SE,1,10,82,116,-34,2219.5953441224733,198
2021,SE,1,11,23,44,-21,3130.0197229437226,67
2021,SE,1,80,170,225,-55,3794.093518027567,395
2021,SE,2,1,63,45,18,1101.233391551356,108
2021,SE,2,2,427,421,6,1111.16951050459,848
2021,SE,2,3,141,167,-26,1078.00213172668,308
2021,SE,2,4,567,501,66,956.4141373020833,1068
2021,SE,2,5,939,951,-12,1095.9058951530094,1890
2021,SE,2,6,1534,1320,214,802.1447087221633,2854
2021,SE,2,7,19371,16541,2830,1092.244253690803,35912
2021,SE,2,8,1548,1451,97,1188.3940876282986,2999
2021,SE,2,9,4013,3847,166,1628.6802059409858,7860
2021,SE,2,10,107,124,-17,1496.7481978590317,231
2021,SE,2,11,37,77,-40,1266.4512069947598,114
2021,SE,2,80,300,352,-52,2132.2451889494446,652
2022,AL,1,1,3923,3781,142,935.1408501455857,7704
2022,AL,1,2,14465,12078,2387,999.5986417621972,26543
2022,AL,1,3,4375,4781,-406,1208.140004559088,9156
2022,AL,1,4,8701,7983,718,1203.4153012874779,16684
2022,AL,1,5,8913,8574,339,1332.7762376189303,17487
2022,AL,1,6,7077,6310,767,1195.2082214674053,13387
2022,AL,1,7,68500,57762,10738,1394.0775779772994,126262
2022,AL,1,8,2012,2012,0,1622.5923036804845,4024
2022,AL,1,9,3985,3863,122,2569.780441451105,7848
2022,AL,1,10,125,121,4,1978.2529170250039,246
2022,AL,1,11,22,47,-25,3436.103968253968,69
2022,AL,1,80,413,373,40,3814.3564011394687,786
2022,AL,2,1,154,182,-28,1210.0923666651636,336
2022,AL,2,2,431,486,-55,1148.2294863002999,917
2022,AL,2,3,225,254,-29,1214.6364482452716,479
2022,AL,2,4,821,776,45,1118.948450131865,1597
2022,AL,2,5,1937,1839,98,1606.0913857429125,3776
2022,AL,2,6,1757,1604,153,1003.492223475448,3361
2022,AL,2,7,34919,29191,5728,1247.8117594856556,64110
2022,AL,2,8,2314,2308,6,1372.9482999430647,4622
2022,AL,2,9,5483,5463,20,1941.3746054280473,10946
2022,AL,2,10,172,162,10,1932.802511681026,334
2022,AL,2,11,32,43,-11,1381.159409569597,75
2022,AL,2,80,540,524,16,2643.1438328914337,1064
2022,BA,1,1,2980,2801,179,1893.8605660166677,5781
2022,BA,1,2,17603,17456,147,1436.5822118830272,35059
2022,BA,1,3,9938,10181,-243,1455.0900242981777,20119
2022,BA,1,4,28129,27305,824,1404.519381936421,55434
2022,BA,1,5,34202,32068,2134,1555.6375003814683,66270
2022,BA,1,6,43673,38871,4802,1518.1092705194742,82544
2022,BA,1,7,384979,320105,64874,1519.0914996408765,705084
2022,BA,1,8,10821,10370,451,1917.655258510905,21191
2022,BA,1,9,21513,20221,1292,3398.2335303952573,41734
2022,BA,1,10,650,564,86,3687.8129808708895,1214
