cod_ibge,regiao_codigo,regiao_nome,ano,mes,valor
2308906,05,Litoral Norte,2015,5,872851.9500000001
2300754,06,Litoral Oeste / Vale do Curu,2015,5,610294.2550000001
2300903,06,Litoral Oeste / Vale do Curu,2015,5,94182.14500000002
2306108,06,Litoral Oeste / Vale do Curu,2015,5,635810.0800000001
2306405,06,Litoral Oeste / Vale do Curu,2015,5,2912593.7349999994
2308377,06,Litoral Oeste / Vale do Curu,2015,5,602764.27
2310704,06,Litoral Oeste / Vale do Curu,2015,5,96106.58499999996
2313351,06,Litoral Oeste / Vale do Curu,2015,5,769189.735
2313757,06,Litoral Oeste / Vale do Curu,2015,5,193565.55499999993
2313807,06,Litoral Oeste / Vale do Curu,2015,5,51871.595
2300150,07,Maciço do Baturité,2015,5,131746.88499999998
2301208,07,Maciço do Baturité,2015,5,71591.18999999994
2301406,07,Maciço do Baturité,2015,5,37687.86499999999
2302107,07,Maciço do Baturité,2015,5,70373.26
2302909,07,Maciço do Baturité,2015,5,270775.245
