ano,bimestre,regiao_codigo,regiao_nome,elemento,empenhado_acum,pago_acum,empenhado_fluxo,pago_fluxo
2021,6,13,Sertão dos Inhamuns,equip,8558541.4,1949007.43,8188557.35,1708814.63
2021,6,14,Vale do Jaguaribe,equip,44985316.53,15067023.54,23021149.1,6565660.0
2021,6,15,Estado do Ceará (não regionalizado),equip,22628730.31,12849142.38,5320462.09,5629261.51
2021,6,01,Cariri,obras,329460562.94,216471722.96,195583877.33,101684940.22
2021,6,02,Centro Sul,obras,19680287.11,5636768.23,15619509.3,2959779.95
2021,6,03,Grande Fortaleza,obras,725657935.79,463870956.29,386961314.21,161024564.91
2021,6,04,Litoral Leste,obras,30961312.89,24503763.62,11908694.23,7676721.61
2021,6,05,Litoral Norte,obras,45369419.93,35221906.39,17933271.91,11201522.6
2021,6,06,Litoral Oeste / Vale do Curu,obras,27163412.15,19861405.59,14668329.81,8236026.98
2021,6,07,Maciço do Baturité,obras,6489604.93,5385156.17,2079590.7,1787007.76
2021,6,08,Serra da Ibiapaba,obras,19969599.07,14326243.18,8540356.29,4406829.97
2021,6,09,Sertão Central,obras,28827772.55,25167309.95,10754538.44,8381403.45
2021,6,10,Sertão de Canindé,obras,20478095.01,18346873.86,4731583.01,3417460.63
2021,6,11,Sertão de Sobral,obras,50523628.83,29459613.09,32625318.23,13632022.05
2021,6,12,Sertão dos Crateús,obras,65084794.82,42288953.41,38099804.12,19217603.91
2021,6,13,Sertão dos Inhamuns,obras,12485653.7,9904937.28,6621805.09,5660200.3
2021,6,14,Vale do Jaguaribe,obras,45199292.15,29290420.31,22594918.94,9934441.17
2021,6,15,Estado do Ceará (não regionalizado),obras,17784040.97,10340598.46,7919202.17,3163042.3
2022,6,01,Cariri,equip,65828030.41,49150127.47,7982336.33,18348461.5
2022,6,02,Centro Sul,equip,12235017.32,10211183.95,2664349.83,3195586.52
2022,6,03,Grande Fortaleza,equip,458843666.73,331299592.68,138833380.15,152101452.95
2022,6,04,Litoral Leste,equip,5013579.48,3935866.59,432213.88,2863599.15
2022,6,05,Litoral Norte,equip,14269270.23,11468032.03,1733358.36,5941534.68
2022,6,06,Litoral Oeste / Vale do Curu,equip,11387394.84,9534956.79,1325365.8,2775619.16
2022,6,07,Maciço do Baturité,equip,6134127.68,5159213.53,598562.24,962547.51
2022,6,08,Serra da Ibiapaba,equip,11708622.58,7241752.59,2673176.96,3467698.37
2022,6,09,Sertão Central,equip,14702423.37,11872815.39,2727283.79,4341363.52
2022,6,10,Sertão de Canindé,equip,7794416.21,5992075.81,1137297.75,1523505.67
2022,6,11,Sertão de Sobral,equip,20292492.65,13558429.45,4074955.5,2913633.06
2022,6,12,Sertão dos Crateús,equip,13653637.82,8964881.11,2453623.2,2025366.85
2022,6,13,Sertão dos Inhamuns,equip,5611049.24,4191238.3,1587752.03,1772728.67
2022,6,14,Vale do Jaguaribe,equip,25348404.04,15968928.95,4434185.09,7134385.51
2022,6,15,Estado do Ceará (não regionalizado),equip,60334557.76,26297015.01,27873097.11,3013257.16
2022,6,01,Cariri,obras,314542897.42,302258459.77,97422400.23,96200146.76
2022,6,02,Centro Sul,obras,20208799.65,18413160.61,6521844.17,6466387.72
2022,6,03,Grande Fortaleza,obras,600119912.51,572243702.46,210248393.68,197674712.19
2022,6,04,Litoral Leste,obras,12734085.49,11106869.64,2604072.69,4516952.62
2022,6,05,Litoral Norte,obras,15508186.89,14043379.43,5972077.91,6381692.58
2022,6,06,Litoral Oeste / Vale do Curu,obras,58893826.73,57322826.22,20278407.62,21272068.54
2022,6,07,Maciço do Baturité,obras,14029895.48,11037661.93,3963136.39,2301449.27
2022,6,08,Serra da Ibiapaba,obras,12435758.92,11987814.57,7074458.33,7512655.02
2022,6,09,Sertão Central,obras,103219382.25,101583930.35,13687917.0,13678754.86
2022,6,10,Sertão de Canindé,obras,18012131.48,16307399.27,7196527.81,6357450.05
2022,6,11,Sertão de Sobral,obras,61642785.21,58858980.66,13998233.81,14234140.77
2022,6,12,Sertão dos Crateús,obras,59735576.3,55236002.06,20428165.66,19158242.44
2022,6,13,Sertão dos Inhamuns,obras,16616730.51,16217367.77,7691564.29,7570412.09
2022,6,14,Vale do Jaguaribe,obras,55253076.67,49445904.36,13833911.32,11892854.25
2022,6,15,Estado do Ceará (não regionalizado),obras,21745391.99,18747329.31,7175047.11,6702617.21
2023,6,01,Cariri,equip,25457898.54,18736734.21,7234626.92,16992200.17
2023,6,02,Centro Sul,equip,7578869.92,5463997.82,2568356.45,4530396.06
2023,6,03,Grande Fortaleza,equip,289031069.28,180950063.16,78474470.72,53539578.75
2023,6,04,Litoral Leste,equip,677212.38,468001.13,514287.16,443198.83
2023,6,05,Litoral Norte,equip,4458304.06,3002069.94,1371337.26,2879821.92
2023,6,06,Litoral Oeste / Vale do Curu,equip,6350777.34,4658895.26,2797160.6,3868857.55
2023,6,07,Maciço do Baturité,equip,2421122.08,1582014.22,1406049.68,1125141.59
2023,6,08,Serra da Ibiapaba,equip,5668843.47,3871843.97,3139195.99,3338995.52
2023,6,09,Sertão Central,equip,9518999.82,7491422.22,4062355.02,4928921.65
2023,6,10,Sertão de Canindé,equip,4772049.07,3800697.75,2386414.49,2456024.5
2023,6,11,Sertão de Sobral,equip,12587151.93,8412724.79,8161343.8,7078627.85
2023,6,12,Sertão dos Crateús,equip,11734295.35,8741497.18,6190339.92,6485340.71
2023,6,13,Sertão dos Inhamuns,equip,3753744.39,2763611.48,2981010.72,2475576.81
2023,6,14,Vale do Jaguaribe,equip,18901587.49,7744606.63,3335041.01,4202743.19
2023,6,15,Estado do Ceará (não regionalizado),equip,67883292.27,48670420.65,13200904.44,33303430.82
2023,6,01,Cariri,obras,253249042.72,238254734.5,94989295.81,93067007.36
2023,6,02,Centro Sul,obras,17538394.14,12532981.14,5924410.53,2174813.58
2023,6,03,Grande Fortaleza,obras,602949972.89,526501539.71,283233922.82,221802644.8
2023,6,04,Litoral Leste,obras,10407771.4,7655764.96,3767704.5,3066357.05
2023,6,05,Litoral Norte,obras,21066046.94,16466044.1,11089714.45,6960711.27
2023,6,06,Litoral Oeste / Vale do Curu,obras,31814421.41,29500137.97,7916223.61,6141050.04
2023,6,07,Maciço do Baturité,obras,11494100.5,8500630.17,6064046.97,4116829.93
2023,6,08,Serra da Ibiapaba,obras,13266247.15,10518319.01,5787953.15,3268032.84
2023,6,09,Sertão Central,obras,78772927.33,73359607.62,31642921.52,28591918.03
2023,6,10,Sertão de Canindé,obras,19475858.49,19187409.57,4278876.72,4136487.48
2023,6,11,Sertão de Sobral,obras,16916903.65,10834464.31,8980840.22,3845954.26
2023,6,12,Sertão dos Crateús,obras,60248877.75,50889856.13,31729250.58,25274938.14
2023,6,13,Sertão dos Inhamuns,obras,21224683.4,19841703.61,4848801.02,4193712.97
2023,6,14,Vale do Jaguaribe,obras,42307492.72,36724337.48,14003425.94,9903135.44
2023,6,15,Estado do Ceará (não regionalizado),obras,5928508.06,2207982.76,214345.47,549579.66
2024,6,01,Cariri,equip,61637092.01,29619932.15,31569905.72,3375785.77
2024,6,02,Centro Sul,equip,6575485.8,4955654.2,2052419.61,769253.51
2024,6,03,Grande Fortaleza,equip,390646726.1,224748057.16,105787523.46,67533757.06
2024,6,04,Litoral Leste,equip,3883597.91,1175002.05,1265733.57,730845.07
2024,6,05,Litoral Norte,equip,10667512.73,5727341.43,4126662.95,3860889.38
2024,6,06,Litoral Oeste / Vale do Curu,equip,8699831.67,3400466.34,2914851.09,2003447.44
2024,6,07,Maciço do Baturité,equip,5258173.27,2961887.83,1878254.57,2253882.13
2024,6,08,Serra da Ibiapaba,equip,8138999.32,7369453.92,2007937.05,5619386.85
2024,6,09,Sertão Central,equip,17525492.85,11169746.81,4951878.73,6197495.24
2024,6,10,Sertão de Canindé,equip,5018407.51,4192038.95,1421628.7,2524333.78
2024,6,11,Sertão de Sobral,equip,24356604.83,17297704.42,8411263.5,7245948.34
2024,6,12,Sertão dos Crateús,equip,11761369.8,9611057.27,4069359.55,5827583.53
2024,6,13,Sertão dos Inhamuns,equip,4368454.41,2592926.67,1441187.32,1761053.82
2024,6,14,Vale do Jaguaribe,equip,18237365.59,15299433.87,2497533.36,5806177.74
2024,6,15,Estado do Ceará (não regionalizado),equip,79540094.58,44033485.42,32504043.88,11193802.55
2024,6,01,Cariri,obras,326183714.36,304622065.69,132360202.96,126189076.27
2024,6,02,Centro Sul,obras,21687617.7,14541493.59,4334965.4,3281018.51
2024,6,03,Grande Fortaleza,obras,655525670.98,561652135.24,220402840.29,161478480.08
2024,6,04,Litoral Leste,obras,15416955.55,10794639.94,670450.07,1705600.68
2024,6,05,Litoral Norte,obras,19992178.28,18195996.66,5788827.23,5816170.57
2024,6,06,Litoral Oeste / Vale do Curu,obras,43565104.78,42430391.46,7665502.64,10957768.27
2024,6,07,Maciço do Baturité,obras,16269939.49,15200162.31,3758174.22,2831681.33
2024,6,08,Serra da Ibiapaba,obras,7143916.46,5479437.05,2314978.25,1701852.27
2024,6,09,Sertão Central,obras,342040315.97,333500230.75,97527069.95,90150607.86
2024,6,10,Sertão de Canindé,obras,22472044.32,20002352.4,8654317.63,6243771.08
2024,6,11,Sertão de Sobral,obras,35149704.43,33882712.49,12257176.3,11711084.63
2024,6,12,Sertão dos Crateús,obras,37284429.95,36270883.56,8990639.74,8201828.36
2024,6,13,Sertão dos Inhamuns,obras,27727082.81,26608042.06,1879698.11,1605997.25
2024,6,14,Vale do Jaguaribe,obras,34775918.66,34067006.69,6007409.03,5664565.91
2024,6,15,Estado do Ceará (não regionalizado),obras,37875370.93,30280024.85,32389657.28,29927178.0
2025,6,01,Cariri,equip,56153475.89,24655367.6,26893911.1,5939957.82
2025,6,02,Centro Sul,equip,16621335.49,7050466.16,6362176.54,2030223.99
2025,6,03,Grande Fortaleza,equip,371766943.95,186383643.25,127997164.87,61594600.14
2025,6,04,Litoral Leste,equip,3109619.98,1138245.41,240537.38,499796.35
2025,6,05,Litoral Norte,equip,9239138.25,2499237.61,2516941.68,804902.6
2025,6,06,Litoral Oeste / Vale do Curu,equip,8391763.07,2202120.14,2032218.61,782101.24
2025,6,07,Maciço do Baturité,equip,4125035.13,602968.98,740959.24,312658.63
2025,6,08,Serra da Ibiapaba,equip,7830679.75,1545421.45,2714246.89,521926.95
2025,6,09,Sertão Central,equip,9334255.61,2674577.57,3249630.33,1037226.7
2025,6,10,Sertão de Canindé,equip,7650720.61,2713654.56,3298963.34,441658.94
2025,6,11,Sertão de Sobral,equip,13089616.64,4227608.44,3524893.2,348728.81
2025,6,12,Sertão dos Crateús,equip,11408547.23,4090436.67,3695207.37,1438200.19
