ano,mes,direto_ce,ne_rateado,nacional_rateado,ne_bruto,nacional_bruto,share_ne,share_br,total
2024,1,7377671.34,0.0,2564413.97696,0.0,116564271.68,0.15,0.022,9942085.31696
2024,2,487187.77,3697127.253,977313.1119399999,24647515.02,44423323.269999996,0.15,0.022,5161628.13494
2024,3,9436905.83,9412053.3345,3045597.58778,62747022.23,138436253.99,0.15,0.022,21894556.752279997
2024,4,10035765.25,23022409.768499997,5672238.279399999,153482731.79,257829012.7,0.15,0.022,38730413.2979
2024,5,9028104.040000001,32397950.427,6441983.9451,215986336.18,292817452.05,0.15,0.022,47868038.4121
2024,6,9513582.53,41015172.5295,8550661.13396,273434483.53000003,388666415.18,0.15,0.022,59079416.19346
2024,7,7845851.6,45336850.608,16856230.88776,302245670.72,766192313.08,0.15,0.022,70038933.09576
2024,8,7178870.22,25758710.1465,13585100.738,171724734.31,617504579.0,0.15,0.022,46522681.104499996
2024,9,4990938.569999999,31978678.269,7807823.904759999,213191188.46,354901086.58,0.15,0.022,44777440.743760005
2024,10,4630754.13,52897452.0435,16545844.92528,352649680.29,752083860.24,0.15,0.022,74074051.09878
2024,11,3808491.94,42437524.944,17982464.09762,282916832.96,817384731.71,0.15,0.022,64228480.98162
2024,12,21953808.7,71830045.02,62729953.57089999,478866966.8,2851361525.95,0.15,0.022,156513807.2909
2025,1,0.0,0.0,656523.13254,0.0,29841960.57,0.15,0.022,656523.13254
2025,2,0.0,13336173.2655,1332551.9250999999,88907821.77,60570542.05,0.15,0.022,14668725.1906
2025,3,0.0,10764909.1965,2039120.62222,71766061.31,92687301.01,0.15,0.022,12804029.81872
2025,4,4894.84,60507528.217499994,5464592.30306,403383521.45,248390559.23,0.15,0.022,65977015.36056
2025,5,72050.67,16114366.5555,9887566.79262,107429110.37,449434854.21,0.15,0.022,26073984.01812
2025,6,232899.87000000002,73729890.85350001,11048771.47572,491532605.69000006,502216885.26,0.15,0.022,85011562.19922002
2025,7,495501.41000000003,51346376.538,11567552.80824,342309176.92,525797854.92,0.15,0.022,63409430.756239995
2025,8,6914436.5,43918121.958,11746082.61024,292787479.71999997,533912845.92,0.15,0.022,62578641.068239994
2025,9,3970691.84,65887011.059999995,15686953.03142,439246740.4,713043319.61,0.15,0.022,85544655.93142
2025,10,8528270.360000001,49036305.2775,17951879.808939997,326908701.85,815994536.77,0.15,0.022,75516455.44644
2025,11,6367906.91,41880609.3435,17740142.17382,279204062.29,806370098.8100001,0.15,0.022,65988658.42732
2025,12,14800132.02,73495272.669,88647906.94672,489968484.46,4029450315.76,0.15,0.022,176943311.63572
