cod_ibge,regiao_codigo,regiao_nome,ano,mes,credito_operacoes
2306900,14,Vale do Jaguaribe,2015,10,22621600.0
2307304,01,Cariri,2015,10,78712290.0
2307502,01,Cariri,2015,10,20702171.0
2307601,14,Vale do Jaguaribe,2015,10,32556450.0
2307650,03,Grande Fortaleza,2015,10,129469579.0
2307700,03,Grande Fortaleza,2015,10,3482551.0
2308500,09,Sertão Central,2015,10,12320654.0
2309300,12,Sertão dos Crateús,2015,10,27895477.0
2309607,03,Grande Fortaleza,2015,10,22484502.0
2311306,09,Sertão Central,2015,10,25797381.0
2311405,09,Sertão Central,2015,10,9669889.0
2311801,14,Vale do Jaguaribe,2015,10,1068618.0
2312205,12,Sertão dos Crateús,2015,10,2851135.0
2312304,08,Serra da Ibiapaba,2015,10,21840744.0
2312908,11,Sertão de Sobral,2015,10,80587895.0
2313302,13,Sertão dos Inhamuns,2015,10,15243405.0
2313401,08,Serra da Ibiapaba,2015,10,25050419.0
2314102,08,Serra da Ibiapaba,2015,10,1129931.0
2300200,05,Litoral Norte,2015,11,9182373.0
2300309,02,Centro Sul,2015,11,8279081.0
2301000,03,Grande Fortaleza,2015,11,2511301.0
2301109,04,Litoral Leste,2015,11,39397561.0
2301901,01,Cariri,2015,11,19806031.0
2302107,07,Maciço do Baturité,2015,11,25581508.0
2302404,10,Sertão de Canindé,2015,11,17604034.0
2302503,01,Cariri,2015,11,29196726.0
2302701,01,Cariri,2015,11,15211396.0
2302800,10,Sertão de Canindé,2015,11,26662037.0
2303501,03,Grande Fortaleza,2015,11,14660402.0
2303709,03,Grande Fortaleza,2015,11,3375597.0
2304103,12,Sertão dos Crateús,2015,11,31321740.0
2304202,01,Cariri,2015,11,33442887.0
2304285,03,Grande Fortaleza,2015,11,3174179.0
2304400,03,Grande Fortaleza,2015,11,4726736242.0
2304707,05,Litoral Norte,2015,11,29875313.0
2305233,03,Grande Fortaleza,2015,11,5056300.0
2305506,02,Centro Sul,2015,11,52849427.0
2306306,06,Litoral Oeste / Vale do Curu,2015,11,0.0
2306405,06,Litoral Oeste / Vale do Curu,2015,11,68515502.0
2306900,14,Vale do Jaguaribe,2015,11,23543947.0
2307304,01,Cariri,2015,11,80480764.0
2307502,01,Cariri,2015,11,21083940.0
2307601,14,Vale do Jaguaribe,2015,11,33619693.0
2307650,03,Grande Fortaleza,2015,11,135126736.0
2307700,03,Grande Fortaleza,2015,11,4343163.0
2308500,09,Sertão Central,2015,11,13358332.0
2309300,12,Sertão dos Crateús,2015,11,28365594.0
2309607,03,Grande Fortaleza,2015,11,23546600.0
2311306,09,Sertão Central,2015,11,26448656.0
2311405,09,Sertão Central,2015,11,9879829.0
2311801,14,Vale do Jaguaribe,2015,11,989045.0
2312205,12,Sertão dos Crateús,2015,11,2920522.0
2312304,08,Serra da Ibiapaba,2015,11,21959263.0
2312908,11,Sertão de Sobral,2015,11,82185085.0
2313302,13,Sertão dos Inhamuns,2015,11,15441170.0
2313401,08,Serra da Ibiapaba,2015,11,25204541.0
2314102,08,Serra da Ibiapaba,2015,11,1111961.0
2300200,05,Litoral Norte,2015,12,10058088.0
2300309,02,Centro Sul,2015,12,8214586.0
2301000,03,Grande Fortaleza,2015,12,3430995.0
2301109,04,Litoral Leste,2015,12,42333770.0
2301901,01,Cariri,2015,12,19602265.0
2302107,07,Maciço do Baturité,2015,12,27291353.0
2302404,10,Sertão de Canindé,2015,12,17859792.0
2302503,01,Cariri,2015,12,29640639.0
2302701,01,Cariri,2015,12,15963087.0
2302800,10,Sertão de Canindé,2015,12,27268703.0
2303501,03,Grande Fortaleza,2015,12,16726837.0
2303709,03,Grande Fortaleza,2015,12,3224700.0
2304103,12,Sertão dos Crateús,2015,12,33506384.0
2304202,01,Cariri,2015,12,34744721.0
2304285,03,Grande Fortaleza,2015,12,2835409.0
2304400,03,Grande Fortaleza,2015,12,4761835558.0
2304707,05,Litoral Norte,2015,12,31444260.0
2305233,03,Grande Fortaleza,2015,12,4899195.0
2305506,02,Centro Sul,2015,12,55431086.0
2306306,06,Litoral Oeste / Vale do Curu,2015,12,0.0
2306405,06,Litoral Oeste / Vale do Curu,2015,12,71703725.0
2306900,14,Vale do Jaguaribe,2015,12,24093499.0
2307304,01,Cariri,2015,12,84482976.0
2307502,01,Cariri,2015,12,21890142.0
2307601,14,Vale do Jaguaribe,2015,12,34920731.0
2307650,03,Grande Fortaleza,2015,12,151699404.0
2307700,03,Grande Fortaleza,2015,12,4624085.0
2308500,09,Sertão Central,2015,12,14720199.0
2309300,12,Sertão dos Crateús,2015,12,29098077.0
2309607,03,Grande Fortaleza,2015,12,24543750.0
2311306,09,Sertão Central,2015,12,27142558.0
2311405,09,Sertão Central,2015,12,9705238.0
2311801,14,Vale do Jaguaribe,2015,12,1059348.0
2312205,12,Sertão dos Crateús,2015,12,2891325.0
2312304,08,Serra da Ibiapaba,2015,12,22079429.0
2312908,11,Sertão de Sobral,2015,12,84177929.0
2313302,13,Sertão dos Inhamuns,2015,12,15760430.0
2313401,08,Serra da Ibiapaba,2015,12,26125010.0
2314102,08,Serra da Ibiapaba,2015,12,1037991.0
2300200,05,Litoral Norte,2016,1,10811041.0
2300309,02,Centro Sul,2016,1,8208907.0
2301000,03,Grande Fortaleza,2016,1,4022895.0
2301109,04,Litoral Leste,2016,1,41307416.0
2301901,01,Cariri,2016,1,19048643.0
2302107,07,Maciço do Baturité,2016,1,25921996.0
2302404,10,Sertão de Canindé,2016,1,17750100.0
2302503,01,Cariri,2016,1,29315704.0
2302701,01,Cariri,2016,1,15729228.0
2302800,10,Sertão de Canindé,2016,1,26624741.0
2303501,03,Grande Fortaleza,2016,1,16516957.0
2303709,03,Grande Fortaleza,2016,1,3104111.0
2304103,12,Sertão dos Crateús,2016,1,33424144.0
2304202,01,Cariri,2016,1,33980477.0
2304285,03,Grande Fortaleza,2016,1,2837270.0
2304400,03,Grande Fortaleza,2016,1,4446747720.0
2304707,05,Litoral Norte,2016,1,32286810.0
