cod_ibge,ano,mes,bnb_operacoes_credito_total,bnb_emprestimos_titulos_descontados,bnb_financiamentos,bnb_financiamentos_rurais_agricultura,bnb_financiamentos_agroindustriais,bnb_financiamentos_imobiliarios,credito_bnb_total
2311801,2015,5,352322.0,259510.0,63639.0,0.0,0.0,0.0,352322.0
2312205,2015,5,2104657.0,1429367.0,459758.0,0.0,0.0,0.0,2104657.0
2312304,2015,5,21261444.0,17320815.0,1709591.0,2073133.0,0.0,0.0,21261444.0
2312908,2015,5,75861237.0,58770244.0,10472802.0,235124.0,0.0,0.0,75861237.0
2313302,2015,5,17209184.0,14458117.0,1387805.0,1704.0,43159.0,0.0,17209184.0
2313401,2015,5,24813465.0,18352193.0,4412427.0,989728.0,0.0,0.0,24813465.0
2314102,2015,5,1216252.0,806798.0,396890.0,0.0,0.0,0.0,1216252.0
2300200,2015,6,8666569.0,5288291.0,3203800.0,0.0,0.0,0.0,8666569.0
2300309,2015,6,8301735.0,7124489.0,883420.0,0.0,0.0,0.0,8301735.0
2301000,2015,6,1236713.0,1006775.0,199336.0,0.0,0.0,0.0,1236713.0
2301109,2015,6,39144815.0,25202901.0,2816568.0,1505262.0,0.0,0.0,39144815.0
2301901,2015,6,24762100.0,21749002.0,2826137.0,0.0,0.0,0.0,24762100.0
2302107,2015,6,24629501.0,18440246.0,1515790.0,2991202.0,209430.0,0.0,24629501.0
2302404,2015,6,16636619.0,12688251.0,1551595.0,153776.0,0.0,0.0,16636619.0
2302503,2015,6,27520097.0,21964895.0,2378705.0,1331304.0,0.0,0.0,27520097.0
2302701,2015,6,14713847.0,11257212.0,758906.0,26196.0,0.0,0.0,14713847.0
2302800,2015,6,27758643.0,23443226.0,1826986.0,36854.0,0.0,0.0,27758643.0
2303501,2015,6,15844552.0,14390716.0,1375650.0,0.0,0.0,0.0,15844552.0
2303709,2015,6,2303802.0,1244052.0,972480.0,0.0,0.0,0.0,2303802.0
2304103,2015,6,32001053.0,24770447.0,2458577.0,59525.0,0.0,0.0,32001053.0
2304202,2015,6,31204343.0,22458604.0,3471976.0,559688.0,0.0,0.0,31204343.0
2304285,2015,6,1480753.0,1120958.0,278599.0,0.0,0.0,0.0,1480753.0
2304400,2015,6,4156034768.0,655968589.0,678682745.0,13527802.0,0.0,672528363.0,4156034768.0
2304707,2015,6,30918892.0,27317352.0,3249818.0,225636.0,0.0,0.0,30918892.0
2305233,2015,6,3339195.0,1494436.0,1759458.0,0.0,0.0,0.0,3339195.0
2305506,2015,6,50628039.0,37904249.0,5444369.0,755636.0,0.0,0.0,50628039.0
2306306,2015,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2306405,2015,6,67711898.0,54000074.0,8449913.0,1139086.0,0.0,0.0,67711898.0
2306900,2015,6,22369007.0,17088582.0,1878285.0,828830.0,0.0,0.0,22369007.0
2307304,2015,6,75979946.0,59179605.0,12186431.0,141763.0,0.0,0.0,75979946.0
2307502,2015,6,20262866.0,7938179.0,678449.0,2245259.0,0.0,0.0,20262866.0
2307601,2015,6,33195955.0,22274502.0,6341649.0,2877079.0,409633.0,0.0,33195955.0
2307650,2015,6,119870922.0,87476658.0,32068689.0,148924.0,0.0,0.0,119870922.0
2307700,2015,6,3469166.0,1729265.0,1653781.0,0.0,0.0,0.0,3469166.0
